feature_name,dose,pvalue,tstat,fc
M264T336,1,0.260660841,-1.187923448,0.900549807
M264T410,1,0.775382059,-0.300087135,0.951086516
M264T102,1,0.244630077,1.241023753,1.119979181
M264T531,1,0.910317104,-0.115976913,0.970126658
M264T529,1,0.535365692,-0.638971961,0.914196401
M264T457,1,0.390651256,-0.952245982,0.78511983
M264T474,1,0.564173263,-0.601216748,0.838966229
M264T322,1,0.816576453,-0.245689881,0.956365889
M264T430_1,1,0.975853079,0.031759424,1.003785592
M264T342,1,0.308840434,-1.075120284,0.909610284
M264T430_2,1,0.799274058,0.266570847,1.025916591
M264T30,1,0.390114527,-0.900451724,0.868389808
M264T329,1,0.731013876,0.359014904,1.071539228
M264T275,1,0.48509895,-0.730687084,0.90477727
M265T343,1,0.216910815,-1.298371778,0.957706622
M265T318,1,0.189556765,-1.454365379,0.639459954
M265T470,1,0.041732513,-2.37838223,0.700622392
M265T542,1,0.153795461,1.518481792,1.199418168
M265T544,1,0.686444798,0.422355456,1.033747185
M265T524,1,0.938180142,-0.079993287,0.975721777
M265T336,1,0.059207982,-2.122911171,0.850601228
M265T521,1,0.539170524,-0.636212017,0.927591932
M265T64,1,0.008138486,-3.967460361,0.534629487
M265T248,1,0.066040178,2.223351162,2.299440146
M265T474,1,0.003388915,4.556207155,1.528284609
M265T446,1,0.035601781,2.661380379,1.811523414
M265T31,1,0.31460474,1.07731772,1.411307113
M265T362_2,1,0.396988072,-0.884086611,0.948647734
M265T424,1,0.113020348,-1.723950203,0.84115704
M265T362_3,1,0.477462581,0.743334185,1.082489249
M265T323,1,0.93803358,0.081879462,1.02333681
M265T329,1,0.551629592,0.626090301,1.169386839
M266T30_1,1,0.141964488,-1.627290295,0.846309641
M266T298_1,1,0.537129859,-0.671581048,0.87553225
M266T311_1,1,0.011259095,3.041045537,1.380849786
M266T75,1,0.754591016,0.32140053,1.06477301
M266T542_1,1,0.956580301,0.059769522,1.020359966
M266T544,1,0.599191083,0.552735193,1.04136806
M266T336,1,0.224641154,-1.320099047,0.827894819
M266T417,1,0.095142185,2.083874318,1.650453917
M266T239,1,0.208851842,-1.36208128,0.937566262
M266T327,1,0.012390247,-2.906581041,0.775151278
M266T460,1,0.227203635,-1.268076237,0.727252602
M266T248,1,0.460928795,0.794494547,1.331511519
M266T400,1,0.927798316,0.094152385,1.016400954
M266T311_2,1,0.898153944,0.137707485,1.010057296
M266T362,1,0.398623849,-0.880769273,0.950618182
M266T452,1,0.399979763,0.969763293,1.531276915
M266T374,1,0.62747473,0.510011512,1.104239411
M266T347,1,0.821847948,0.232151103,1.045460701
M267T343,1,0.932814519,-0.086090388,0.992679453
M267T311,1,0.138524529,1.627378634,1.412307778
M267T330,1,0.937893837,0.081610244,1.010385309
M267T544_1,1,0.578899266,0.587031879,1.051557588
M267T544_2,1,0.82116465,-0.236673754,0.973800907
M267T335,1,0.238018368,-1.383359151,0.785462006
M267T531,1,0.330686251,1.010728983,1.06340628
M267T64,1,0.215243525,-1.340179004,0.78314376
M267T239_1,1,0.429515177,-0.897844657,0.835082675
M267T239_2,1,0.360381965,-0.956304375,0.955161143
M267T332,1,0.546267727,0.653094192,1.110985518
M267T132,1,0.63092534,-0.497715336,0.933221109
M267T398,1,0.062036709,-2.150505649,0.755345901
M267T327_1,1,0.196092442,-1.763243427,0.698226249
M267T69,1,0.450487829,0.801957033,1.213966692
M267T327_2,1,0.037670208,-2.322403468,0.813463819
M267T418,1,0.562898812,0.597140125,1.110853476
M267T362_1,1,0.208873801,-1.32415543,0.934948287
M267T541,1,0.00612416,3.580797528,1.212187204
M267T447,1,0.628530223,-0.496976689,0.919290687
M267T362_2,1,0.953184035,-0.060850145,0.994685158
M267T363,1,0.522811474,-0.679952191,0.867755955
M267T528,1,0.984489559,-0.019825747,0.998841409
M267T350,1,0.356761292,-1.064759537,0.431583752
M267T412,1,0.228416083,1.409426157,2.423730557
M267T359,1,0.953656014,-0.062088304,0.986064158
M268T298,1,0.103479164,-1.823240638,0.838324621
M268T30,1,0.076846062,-1.939442293,0.82258066
M268T413,1,0.541180748,0.628747738,1.053052085
M268T260,1,0.387493391,0.918708117,1.196497609
M268T339,1,0.069185916,-1.983177751,0.701866968
M268T311,1,0.01555741,3.023946074,1.413711005
M268T397,1,0.248311489,1.280162491,1.124519633
M268T544,1,0.447288383,0.821865708,1.08878839
M268T418,1,0.35162611,-0.967391195,0.775315432
M268T239_1,1,0.419012705,-0.838734323,0.954568089
M268T332_1,1,0.41290564,0.926984912,1.364540789
M268T127,1,0.92632545,0.094475383,1.039606147
M268T341,1,0.216672838,-1.328368073,0.825731023
M268T362,1,0.034497895,-2.36455777,0.898479036
M268T509,1,0.899117409,0.129312578,1.023555064
M268T412,1,0.172301606,1.739431898,2.785136478
M268T522,1,0.638514495,-0.505227818,0.87995803
M269T544_1,1,0.695730693,-0.407692701,0.95530742
M269T544_2,1,0.644752725,0.472058258,1.030136317
M269T179,1,0.951784916,0.063022458,1.030439462
M269T73,1,0.142201634,-2.159585452,0.694244799
M269T311,1,0.863797828,-0.176031737,0.96677396
M269T544_3,1,0.330027825,1.028674265,1.064728294
M269T544_4,1,0.422556454,0.873927824,1.127939536
M269T183,1,0.623284475,0.528342816,1.181764857
M269T64,1,0.059530324,-2.064465875,0.700112279
M269T443_1,1,0.021007405,2.988902417,1.784658519
M269T265,1,0.033126532,2.406459233,1.791595117
M269T72,1,0.048296511,2.419239768,1.859026709
M269T127,1,0.765688087,-0.305719665,0.87537091
M269T453_1,1,0.594536085,-0.555232728,0.913947318
M269T453_2,1,0.378203602,-0.935479215,0.888866261
M269T522,1,0.067614387,-1.998765046,0.873713867
M269T30,1,0.132458305,1.916179097,1.364444168
M269T35,1,0.804695036,0.255860032,1.081740487
M269T473,1,0.621044147,0.517062366,1.173766625
M269T443_2,1,0.506155727,0.69617754,1.145773325
M269T301,1,0.866625928,0.171762232,1.007028212
M270T30_1,1,0.464710428,-0.754453033,0.90824671
M270T413,1,0.401437159,0.880180968,1.120951024
M270T260,1,0.811066177,-0.25244357,0.927618573
M270T73_1,1,0.029934428,-2.889022695,0.753231207
M270T310,1,0.751493713,0.331736317,1.033921924
M270T305,1,0.87299894,-0.167281701,0.981423021
M270T435,1,0.107627412,1.759238597,1.096756081
M270T427,1,0.287692576,-1.113690531,0.919306904
M270T513,1,0.78934759,0.276985029,1.041735794
M270T508,1,0.901897717,-0.126310307,0.989693972
M270T367,1,0.137305659,-1.593810633,0.892506838
M270T265,1,0.693838778,0.427084624,1.113290599
M270T487,1,0.005730637,4.568015071,2.69752635
M270T453,1,0.181030198,-1.484129668,0.788333901
M270T522,1,0.130445688,-1.622993575,0.794557877
M270T409,1,0.605305366,0.550861638,1.106889399
M270T299,1,0.130364161,-1.667467584,0.644639554
M270T27,1,0.483429218,-0.722126273,0.958061253
M270T301,1,0.781048329,-0.283803824,0.985625807
M271T342,1,0.405341786,-0.883998884,0.918622456
M271T308,1,0.950828308,0.062869504,1.004418926
M271T380,1,0.121757037,-1.69935132,0.831379768
M271T132,1,0.474563939,-0.736937462,0.900829278
M271T68,1,0.211001873,1.348963364,1.275248862
M271T183,1,0.477427902,0.763428778,1.324669053
M271T74,1,0.319324911,-1.036525057,0.94372998
